종목명,jmCd
3D프린터개발산업기사,2177
3D프린터운용기능사,7785
가구제작기능사,7140
가구제작산업기사,2142
가스기능사,6335
가스기능장,3375
가스기사,1471
가스기술사,0752
가스산업기사,2471
가스텅스텐아크용접기능사,6224
객화차정비산업기사,2044
거푸집기능사,7170
건설기계기술사,0080
건설기계설비기사,1040
건설기계설비산업기사,2040
건설기계정비기능사,6298
건설기계정비기능장,3120
건설기계정비기사,1050
건설기계정비산업기사,2050
건설안전기사,1440
건설안전기술사,0740
건설안전산업기사,2390
건설재료시험기능사,7132
건설재료시험기사,1750
건설재료시험산업기사,2600
건축구조기술사,0490
건축기계설비기술사,0501
건축기사,1630
건축도장기능사,7150
건축목공기능사,7130
건축목공산업기사,2253
건축목재시공기능장,3611
건축산업기사,2530
건축설비기사,1632
건축설비산업기사,2531
건축시공기술사,0510
건축일반시공기능장,3621
건축일반시공산업기사,2251
건축전기설비기술사,0502
건축품질시험기술사,0511
공간정보융합기능사,6981
공간정보융합산업기사,2331
공공조달관리사,9777
공구제작기능사보,8070
공장관리기술사,0760
공조냉동기계기능사,6320
공조냉동기계기사,1730
공조냉동기계기술사,0071
공조냉동기계산업기사,2590
광산보안기능사(화약분야),7385
광산차량기계운전기능사,7371
광산환경기능사,7372
광학기기산업기사,2108
광학기사,1513
교통기사,1751
교통기술사,0951
교통산업기사,2751
국제의료관광코디네이터,9105
굴착기운전기능사,7862
궤도장비정비기능사,6051
궤도장비정비기사,1051
궤도장비정비산업기사,2051
귀금속가공기능사,7460
귀금속가공기능장,3770
귀금속가공산업기사,2760
그린전동자동차기사,1027
금속가공기술사,0130
금속도장기능사,7450
금속재료기능장,3221
금속재료기사,1104
금속재료기술사,0110
금속재료산업기사,2101
금속재료시험기능사,6490
금속재창호기능사,7102
금속제련기술사,0094
금형기능사,6105
금형기능장,3061
금형기술사,0012
기계가공기능장,3021
기계가공조립기능사,6042
기계기술사,0872
기계설계산업기사,2031
기계안전기술사,0710
기계조립산업기사,2011
기상감정기사,1601
기상기사,1600
기상예보기술사,0891
기중기운전기능사,7861
남성복기능사,7931
농기계운전기능사,6301
농림토양평가관리기사,1582
농림토양평가관리산업기사,2582
농어업토목기술사,0470
농업기계기사,1023
농업기계산업기사,2027
농업기계정비기능사,6300
농작업안전보건기사,1442
농화학기술사,0950
누설비파괴검사기사,1617
대기관리기술사,0920
대기환경기사,1661
대기환경산업기사,2571
도로및공항기술사,0420
도배기능사,7180
도시계획기사,1350
도시계획기술사,0650
도자공예기능사,7890
도화기능사,7660
디지털인쇄산업기사,2391
떡제조기능사,7992
로더운전기능사,7866
로봇기구개발기사,1177
로봇소프트웨어개발기사,1178
로봇하드웨어개발기사,1179
롤러운전기능사,7871
멀티미디어콘텐츠제작전문가,9545
메카트로닉스기능사,6903
메카트로닉스산업기사,2060
모터그레이더운전기능사,7872
목공예기능사,7480
목재가공기능사,7645
목재창호기능사,7101
목질재료기능사,7643
미용사(네일),7957
미용사(메이크업),7967
미용사(일반),7937
미용사(피부),7947
미용장,3924
미장기능사,7110
바이오공정기능사,9775
바이오화학제품제조기사,1800
바이오화학제품제조산업기사,2570
반도체설비보전기능사,6033
반도체커스텀레이아웃산업기사,2175
발송배전기술사,0230
방사선비파괴검사기능사,7471
방사선비파괴검사기사,1611
방사선비파괴검사산업기사,2611
방수기능사,7030
방수산업기사,2630
방재기사,1443
배관기능사,6213
배관기능장,3081
배관산업기사,2041
버섯산업기사,1641
버섯종균기능사,7631
보석가공기능사,7889
보석감정사,7980
보석감정산업기사,2980
보석디자인산업기사,2880
복어조리기능사,7914
복어조리산업기사,2975
봉제기능사,9776
불도저운전기능사,7863
비계기능사,7120
비파괴검사기술사,0802
사무자동화산업기사,2193
사진기능사,7795
사출금형기능사보,8090
사출금형기사,1024
사출금형산업기사,2028
사회조사분석사1급,9520
사회조사분석사2급,9521
산림기능사,7632
산림기능장,9773
산림기사,1564
산림기술사,0801
산림산업기사,2481
산업계측제어기술사,0270
산업기계설비기술사,0060
산업안전기사,1431
